id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
12049787,Appleton Studio B (M306B) Early Sept DEAL $155/nt,32532791,"Appleton Street, Boston, MA 02116, United States",South End,2116,42.34499777,-71.07253948,Apartment,Entire home/apt,2,1,0,2,$170.00,3,88,strict
3808557,"South End, 2 bed, private roofdeck",19572355,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33650485,-71.07569641,Apartment,Entire home/apt,6,1,2,3,$450.00,1,100,strict
1119740,[1358-S1]Small Studio in South End,25188,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.3434536,-71.07966122,Apartment,Entire home/apt,2,1,,1,$186.00,3,,super_strict_30
2513870,South End. LUXURY 1 BEDROOM. 850sqf,12867663,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34482586,-71.07687463,Apartment,Entire home/apt,4,1,1,1,$300.00,14,,strict
12034317,Charming South End Apartment,2012986,"Rutland Street, Boston, MA 02118, United States",South End,2118,42.34187598,-71.07814909,Apartment,Entire home/apt,4,1,1,1,$200.00,2,100,moderate
3842286,Charming South End Brownstone Loft,3149911,"Dartmouth Place, Boston, MA 02116, United States",South End,2116,42.34541183,-71.0756691,Apartment,Entire home/apt,4,1,1,1,$189.00,2,99,moderate
13377097,Montgomery Place - Garden Level (Room 1),75997654,"Montgomery Street, Boston, MA 02116, United States",South End,2116,42.34402061,-71.07429963,Townhouse,Entire home/apt,2,1,0,1,$150.00,2,96,strict
7920541,Sleek 1BR w/ Downtown Views and Gym,12243051,"Harrison Ave, Boston, MA 02118, United States",South End,2118,42.34579045,-71.06343694,Condominium,Entire home/apt,4,1,1,2,$179.00,3,96,strict
2694019,Back Bay apt. Close to Marathon!,12985903,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34667379,-71.07549847,Apartment,Entire home/apt,3,1,1,1,$250.00,1,90,strict
11590512,"Bright South End 1BR w/Gym, Pool",12243051,"Harrison Avenue, Boston, MA 02118, United States",South End,2118,42.34428882,-71.06304997,Condominium,Entire home/apt,2,1,1,1,$229.00,3,92,strict
10656576,South End Beauty/1+ beds/1.5 baths,52081526,"Rutland Square, Boston, MA 02118, United States",South End,2118,42.34193791,-71.07873718,Apartment,Entire home/apt,4,1.5,1,2,$250.00,3,100,moderate
